Country,Weeks,Wage Percent
Estonia,166,51
Hungary,166,44
Bulgaria,110,59
Czech Republic,110,48
Latvia,94,56
Slovakia ,164,32
Austria,60,85
Norway,91,49
Slovenia,52,93
Finland,161,25
